pId	weight.kDa.	length	trypticCount	pI
IPI00109120	IPI00109120	39.48359522	343	17	8.23583984375
IPI00109122	IPI00109122	27.8306415	250	14	8.89501953125
IPI00109131	IPI00109131	21.83080979	199	11	5.13525390625
IPI00109135	IPI00109135	31.09293952	275	16	5.97314453125
IPI00109136	IPI00109136	13.55074606	112	7	4.64013671875
IPI00109140	IPI00109140	14.38845734	129	8	8.98291015625
IPI00109142	IPI00109142	31.28130726	282	14	6.75634765625
IPI00109144	IPI00109144	48.88563169	428	24	6.65380859375
IPI00109147	IPI00109147	25.79571041	239	13	4.33544921875
IPI00109153	IPI00109153	61.61022296	560	24	6.97607421875
IPI00109155	IPI00109155	56.87660535	501	31	5.12255859375
IPI00109156	IPI00109156	15.82425691	143	7	10.57958984375
IPI00109162	IPI00109162	35.94803846	314	19	5.69384765625
IPI00109163	IPI00109163	33.99568966	299	18	9.71533203125
IPI00109164	IPI00109164	39.86257867	353	21	5.23681640625
IPI00109166	IPI00109166	52.53761521	483	26	5.55419921875
IPI00109169	IPI00109169	42.74016539	393	19	9.27587890625
IPI00109171	IPI00109171	35.15328451	310	14	9.83251953125
IPI00109175	IPI00109175	33.33427924	309	18	10.24267578125
IPI00109177	IPI00109177	88.45485443	788	36	4.53857421875
IPI00109178	IPI00109178	128.64766481	1161	62	5.93505859375
IPI00109180	IPI00109180	35.16756658	310	12	9.07080078125
IPI00109202	IPI00109202	19.60062968	171	11	4.62744140625
IPI00109203	IPI00109203	37.65310835	342	15	4.20849609375
IPI00109205	IPI00109205	83.58024314	739	40	4.75439453125
IPI00109206	IPI00109206	15.7871595	145	9	5.88427734375
IPI00109208	IPI00109208	29.33476633	262	14	4.99560546875
IPI00109212	IPI00109212	58.41674106	519	29	4.75439453125
IPI00109213	IPI00109213	107.94876175	970	41	4.61474609375
IPI00109214	IPI00109214	48.11699154	414	18	7.85498046875
IPI00109216	IPI00109216	37.00520335	317	14	4.88134765625
IPI00109219	IPI00109219	41.35523337	360	17	9.04150390625
IPI00109221	IPI00109221	66.88289914	587	38	6.90283203125
IPI00109233	IPI00109233	20.73869076	181	7	5.70654296875
IPI00109239	IPI00109239	28.54285784	273	15	5.97314453125
IPI00109241	IPI00109241	19.82455108	185	8	7.69384765625
IPI00109242	IPI00109242	67.39737009	618	25	7.03466796875
IPI00109248	IPI00109248	24.76841778	217	13	6.53662109375
IPI00109252	IPI00109252	25.13491814	219	11	9.65673828125
IPI00109253	IPI00109253	26.27538308	241	13	9.74462890625
IPI00109254	IPI00109254	32.74170686	290	16	5.80810546875
IPI00109256	IPI00109256	44.29226744	414	24	9.23193359375
IPI00109257	IPI00109257	59.74384151	524	35	6.44287109375
IPI00109260	IPI00109260	35.00835576	309	10	9.46630859375
IPI00109274	IPI00109274	10.52441015	95	5	6.35400390625
IPI00109275	IPI00109275	34.63018709	323	19	9.34912109375
IPI00109282	IPI00109282	47.30957444	412	24	10.14013671875
IPI00109285	IPI00109285	20.25432251	195	11	11.82470703125
IPI00109286	IPI00109286	51.1719462	457	22	5.59228515625
IPI00109289	IPI00109289	26.54458054	240	13	9.77392578125
IPI00109290	IPI00109290	50.35532167	456	24	7.69384765625
IPI00109292	IPI00109292	29.69649172	275	15	6.90283203125
IPI00109293	IPI00109293	60.64933022	551	29	9.33447265625
IPI00109296	IPI00109296	66.71600605	680	44	10.31591796875
IPI00109304	IPI00109304	29.48593322	262	12	6.21435546875
IPI00109307	IPI00109307	17.51028772	155	7	6.12548828125
IPI00109311	IPI00109311	38.55853708	355	22	5.49072265625
IPI00109312	IPI00109312	22.24602994	205	9	4.86865234375
IPI00109313	IPI00109313	54.90629749	505	28	6.12548828125
IPI00109318	IPI00109318	12.87232623	120	5	6.08740234375
IPI00109322	IPI00109322	35.35763365	310	13	10.06689453125
IPI00109324	IPI00109324	15.03225542	138	6	7.41552734375
IPI00109326	IPI00109326	64.34442582	568	27	8.73388671875
IPI00109330	IPI00109330	85.58938602	784	37	4.41162109375
IPI00109333	IPI00109333	10.08224957	91	5	11.79541015625
IPI00109334	IPI00109334	94.50070294	823	47	6.65380859375
IPI00109335	IPI00109335	34.12577224	298	16	5.74462890625
IPI00109338	IPI00109338	27.48381321	250	13	10.27197265625
IPI00109339	IPI00109339	45.57475227	405	22	9.99365234375
IPI00109340	IPI00109340	90.68027809	822	39	4.38623046875
IPI00109342	IPI00109342	21.78117562	202	11	10.90185546875
IPI00109354	IPI00109354	58.24776289	518	33	7.66455078125
IPI00109358	IPI00109358	54.86215633	494	19	5.69384765625
IPI00109359	IPI00109359	36.57825933	324	17	6.78564453125
IPI00109360	IPI00109360	17.10460019	154	7	7.89892578125
IPI00109363	IPI00109363	13.93531762	149	3	7.94287109375
IPI00109367	IPI00109367	12.37725156	107	7	6.10009765625
IPI00109368	IPI00109368	16.67280513	149	8	3.92919921875
IPI00109369	IPI00109369	12.90562272	125	8	12.55712890625
IPI00109370	IPI00109370	27.52955596	254	4	4.20849609375
IPI00109375	IPI00109375	57.26404633	530	26	4.47509765625
IPI00109388	IPI00109388	31.2070612	281	14	5.03369140625
IPI00109389	IPI00109389	39.42546084	362	15	5.04638671875
IPI00109391	IPI00109391	30.60777774	280	14	9.46630859375
IPI00109395	IPI00109395	21.67755648	201	15	7.15185546875
IPI00109397	IPI00109397	66.04980393	588	35	8.42626953125
IPI00109401	IPI00109401	74.03202147	660	38	7.97216796875
IPI00109403	IPI00109403	23.12395491	208	12	9.75927734375
IPI00109404	IPI00109404	27.45440445	244	13	4.84326171875
IPI00109405	IPI00109405	20.3360351	191	10	7.91357421875
IPI00109407	IPI00109407	36.53365814	331	13	4.61474609375
IPI00109408	IPI00109408	12.51729261	114	6	7.28369140625
IPI00109409	IPI00109409	14.29685943	124	6	5.46533203125
IPI00109411	IPI00109411	43.41827443	391	21	4.80517578125
IPI00109415	IPI00109415	35.0394228	307	16	4.66552734375
IPI00109419	IPI00109419	139.44644814	1231	65	6.26513671875
IPI00109420	IPI00109420	116.9284759	1027	60	5.54150390625
IPI00109434	IPI00109434	68.20131479	618	31	4.90673828125
IPI00109437	IPI00109437	32.02829412	290	16	6.69775390625
IPI00109441	IPI00109441	49.0754833	428	21	6.71240234375
IPI00109446	IPI00109446	29.92758516	272	11	8.13330078125
IPI00109447	IPI00109447	16.0602332	139	4	6.07470703125
IPI00109455	IPI00109455	21.79344429	195	13	6.72705078125
IPI00109459	IPI00109459	47.94361658	421	23	5.74462890625
IPI00109462	IPI00109462	13.87311422	136	4	6.41748046875
IPI00109463	IPI00109463	17.65649173	157	9	10.97509765625
IPI00109482	IPI00109482	31.34290276	285	18	5.55419921875
IPI00109487	IPI00109487	46.4141156	417	23	6.16357421875
IPI00109488	IPI00109488	12.64145106	111	7	10.35986328125
IPI00109489	IPI00109489	31.97270481	291	18	7.98681640625
IPI00109501	IPI00109501	29.01447122	262	13	10.38916015625
IPI00109502	IPI00109502	11.98804696	114	7	5.87158203125
IPI00109505	IPI00109505	40.96532224	362	14	9.05615234375
IPI00109506	IPI00109506	29.11976534	255	14	4.69091796875
IPI00109507	IPI00109507	19.51076053	174	14	9.83251953125
IPI00109525	IPI00109525	43.7688048	379	26	9.30517578125
IPI00109529	IPI00109529	33.16996251	301	20	8.51416015625
IPI00109531	IPI00109531	12.9210626	133	3	7.95751953125
IPI00109533	IPI00109533	39.55552986	348	19	5.09716796875
IPI00109535	IPI00109535	13.79324419	118	7	10.19873046875
IPI00109536	IPI00109536	36.10143671	316	19	7.41552734375
IPI00109537	IPI00109537	17.53525352	168	9	7.57666015625
IPI00109542	IPI00109542	35.89979772	316	12	8.03076171875
IPI00109544	IPI00109544	59.48824625	540	29	10.56494140625
IPI00109546	IPI00109546	13.6761315	120	5	8.01611328125
IPI00109548	IPI00109548	37.61646643	343	17	10.15478515625
IPI00109551	IPI00109551	21.56156016	200	14	7.84033203125
IPI00109552	IPI00109552	33.87227177	308	15	5.88427734375
IPI00109554	IPI00109554	12.49844966	111	6	9.21728515625
IPI00109561	IPI00109561	33.38864303	295	20	4.75439453125
IPI00109580	IPI00109580	46.47051249	407	25	7.16650390625
IPI00109584	IPI00109584	10.61757012	100	5	11.92724609375
IPI00109587	IPI00109587	18.77579158	170	9	6.84423828125
IPI00109588	IPI00109588	160.5605135	1669	85	8.06005859375
IPI00109597	IPI00109597	18.8712073	169	9	9.72998046875
IPI00109601	IPI00109601	16.51879969	142	8	7.16650390625
IPI00109602	IPI00109602	23.20325515	214	15	7.69384765625
IPI00109603	IPI00109603	34.259274	295	16	8.38232421875
IPI00109611	IPI00109611	17.6953861	155	11	10.40380859375
IPI00109612	IPI00109612	196.43346692	1799	105	6.23974609375
IPI00109613	IPI00109613	19.11820508	178	4	9.93505859375
IPI00109614	IPI00109614	48.14710365	441	22	4.69091796875
IPI00109615	IPI00109615	36.68406951	326	17	5.65576171875
IPI00109616	IPI00109616	28.40068914	268	9	10.15478515625
IPI00109620	IPI00109620	37.18651962	322	17	6.81494140625
IPI00109622	IPI00109622	7.84017004	68	5	10.53564453125
IPI00109632	IPI00109632	25.98518042	228	14	6.30322265625
IPI00109639	IPI00109639	29.91222082	276	13	4.80517578125
IPI00109640	IPI00109640	40.84912417	363	18	3.89111328125
IPI00109644	IPI00109644	31.75770529	292	13	10.46240234375
IPI00109650	IPI00109650	33.84898198	303	19	9.42236328125
IPI00109652	IPI00109652	51.429938	455	26	6.55126953125
IPI00109653	IPI00109653	24.41701895	229	11	8.57275390625
IPI00109654	IPI00109654	11.78737644	107	8	10.65283203125
IPI00109655	IPI00109655	19.12646492	175	13	9.20263671875
IPI00109656	IPI00109656	58.05575583	534	29	8.17724609375
IPI00109657	IPI00109657	14.6727199	124	6	3.76416015625
IPI00109663	IPI00109663	25.4899913	224	11	5.05908203125
IPI00109667	IPI00109667	32.31676085	285	20	9.39306640625
IPI00109670	IPI00109670	55.86112757	496	34	7.70849609375
IPI00109672	IPI00109672	60.57345136	541	29	6.21435546875
